EBAY,YHOO
23.9,17.1
23.65,17.23
23.5,17.17
23.229998,16.700001
23.509999,16.700001
23.45,16.74
23.19,16.68
23.6,16.9
22.88,17.120001000000002
22.469998,16.82
23.259999,16.75
22.23,16.379998999999998
24.129998,16.200001
23.579998,15.88
23.69,15.86
24.069999,15.99
23.969999,15.98
23.329998,15.44
23.019999,15.01
23.169999,15.05
23.079998,15.17
23.229998,15.46
22.449999,15.01
22.709999,15.19
22.49,14.99
22.369998,15.07
21.959999,14.8
22.13,15.22
21.769998,15.17
22.519998,15.41
22.68,15.44
22.84,15.54
23.419999,15.58
23.279998000000006,15.49
22.89,15.38
23.259999,15.59
23.0,15.24
23.019999,15.31
23.879998,15.79
23.99,15.73
23.509999,15.57
23.779998000000006,15.81
24.629999,16.059998999999998
24.839998,16.52
25.51,16.530001000000002
25.56,16.790001
25.439998000000006,16.530001000000002
25.969999,16.32
26.279999,16.459999
26.789999,16.360001
26.979999,16.5
27.46,16.559998999999998
27.189999,16.440001000000002
27.07,16.34
27.049998,16.030001000000002
26.939999,16.09
27.559998,16.32
27.449998,16.540001
27.279999,16.559998999999998
27.139999,16.610001
26.97,16.530001000000002
26.57,16.290001
27.37,16.51
27.27,16.92
26.849998,16.870001000000002
26.46,17.35
26.549998,17.52
26.629999,17.639999
26.639999,18.18
27.039999,18.379999
26.979999,18.969999
26.329999,18.17
26.32,18.389999
26.399998,18.379999
26.289999,17.450001
24.779999,17.719998999999994
24.55,17.639999
24.559999,17.389999
23.769999,16.92
23.99,16.75
24.24,16.969998999999998
23.779998000000006,16.530001000000002
23.909999,16.950001
23.079998,16.32
22.659999,16.49
22.269998,15.92
21.48,15.29
22.33,16.33
22.38,16.41
22.509999,16.469998999999998
22.68,16.139999
22.249999,16.389999
22.509999,16.27
22.169998,16.030001000000002
21.64,15.79
20.809998,15.1
21.42,15.48
21.359999,15.54
21.59,15.31
21.38,15.45
21.909999,15.69
21.409999,15.34
20.959999,15.02
21.249999,15.18
22.18,15.43
21.99,15.0
21.549999,14.94
21.69,14.79
21.78,14.69
22.28,15.1
22.649999,15.29
22.209999,15.17
22.39,15.65
22.13,15.49
22.099999,15.6
22.159999,15.54
21.869998,15.21
21.559999,15.09
21.34,15.23
20.859998,14.83
20.949999,14.81
20.709998,14.73
19.689999,14.04
19.61,13.84
19.639999,14.09
19.26,14.07
19.349999,14.13
19.81,14.4
19.889999,14.6
20.289999,14.89
20.22,14.94
21.009999,15.52
21.109999,15.37
21.03,15.37
20.089999,14.9
20.399999,15.1
20.789999,15.2
20.17,13.91
20.939999,13.88
21.089999,13.99
21.139999,14.15
21.039999,13.95
21.039999,13.87
20.77,13.76
20.909998,13.88
21.459999,14.0
20.97,13.94
21.099999,14.18
21.07,14.16
21.449999,14.34
21.98,14.4
21.909999,14.35
21.249999,13.87
21.59,13.85
21.499999,13.83
22.049999,13.79
22.349999,13.94
22.74,13.99
23.129998,13.85
23.369999,13.79
23.269999,13.65
22.869999,13.4
23.159999,13.26
22.73,13.21
23.179998,13.43
23.129998,13.18
23.229998,13.11
24.029998000000006,13.37
24.059999,13.51
24.129998,13.62
23.529998000000006,13.53
24.569999,13.75
24.3,13.65
24.1,13.68
24.3,13.73
24.25,13.63
24.19,14.27
23.9,14.19
24.219999,13.89
24.65,13.86
24.739998,14.18
24.34,14.04
24.25,14.17
24.739998,14.5
24.769999,14.28
24.869999,14.39
24.989998,14.34
24.4,14.17
24.459999,14.27
24.079998,14.28
24.589998,14.61
24.45,14.52
24.75,14.23
24.61,14.49
24.29,14.41
24.45,14.43
24.869999,15.25
25.279999,15.93
25.679999,16.25
25.719999,15.93
25.529999,15.49
25.66,15.8
27.199998,15.97
28.07,16.309998999999998
27.93,16.4
28.749999,16.459999
29.28,16.42
29.719998,16.4
29.859999,16.49
29.359999,16.15
30.069998,16.190001000000002
30.109999,16.17
30.149999,16.200001
30.869999,16.27
30.84,16.440001000000002
30.529998,16.969998999999998
30.929998,16.940001000000002
30.79,16.799999
30.14,16.549999
30.059999,16.6
29.769998,16.24
30.14,16.15
30.569998,16.99
30.299999,16.57
30.64,16.559998999999998
30.18,16.190001000000002
31.209999,16.41
31.149999,16.219998999999998
30.23,16.379998999999998
29.139999,15.82
29.259999,16.15
29.909999,16.33
29.609999,16.35
29.489999,16.33
29.999999,16.940001000000002
30.149999,17.02
30.349999,16.950001
30.69,17.01
30.28,16.700001
30.749999,16.629998999999998
30.19,16.450001
30.529998,16.51
29.819998,16.379998999999998
29.58,16.280001000000002
28.649999,16.6
28.57,16.629998999999998
28.32,16.719998999999998
28.309998,16.48
28.349999,16.43
28.359998,16.610001
28.13,16.76
27.829999,16.629998999999998
28.68,16.75
28.47,16.59
28.73,16.91
28.42,17.059998999999998
27.699999,16.9
28.259998,16.6
28.359998,16.58
28.83,16.65
28.709998,16.75
29.18,16.809998999999998
29.449999,16.5
29.099999,16.309998999999998
30.779998,16.23
30.019998,15.97
30.509999,16.09
30.909999,16.02
31.059999,15.57
30.959999,16.200001
30.309999,15.83
30.359999,16.120001000000002
31.64,16.379998999999998
31.879998,16.57
32.05,16.690001000000002
32.209999,16.790001
32.239998,16.799999
32.639998,16.6
31.95,16.43
34.489999,16.620001000000002
34.51,16.85
33.86,16.889999
34.46,17.200001
34.46,17.76
34.689999,17.77
34.529999,17.66
33.649998,16.91
32.85,16.58
33.089998,16.370001000000002
33.629999,16.5
33.51,16.4
32.289998,16.1
32.679999,16.629998999999998
32.929999,16.860001
32.009999,17.08
31.5,16.700001
31.669999,16.940001000000002
31.329998,17.65
31.079998,17.059998999999998
30.919999,17.42
30.769998,17.309998999999998
30.44,16.33
29.73,15.91
29.949999,15.86
30.469998,16.030001000000002
30.579998,16.290001
30.219998,16.360001
30.669998,16.129998999999998
31.759999,16.83
31.7,16.959999
30.34,16.58
31.079998,16.75
31.629998,16.74
31.04,16.68
31.359999,16.84
31.39,16.870001000000002
31.84,17.110001
31.85,17.049999
31.529998,17.0
31.14,16.77
31.19,16.59
30.699999,16.360001
30.669998,16.639999
30.849999,16.690001000000002
31.609999,16.620001000000002
31.149999,16.35
31.149999,16.120001000000002
31.759999,16.870001000000002
31.95,16.85
32.96,17.110001
33.079999,17.280001000000002
34.029999,17.26
33.999998,17.51
