HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary
45,49,49,65,65,45,False
60,62,63,80,80,60,False
80,82,83,100,100,80,False
80,100,123,122,120,80,False
39,52,43,60,50,65,False
58,64,58,80,65,80,False
78,84,78,109,85,100,False
78,130,111,130,85,100,False
78,104,78,159,115,100,False
44,48,65,50,64,43,False
59,63,80,65,80,58,False
79,83,100,85,105,78,False
79,103,120,135,115,78,False
45,30,35,20,20,45,False
50,20,55,25,25,30,False
60,45,50,90,80,70,False
40,35,30,20,20,50,False
45,25,50,25,25,35,False
65,90,40,45,80,75,False
65,150,40,15,80,145,False
40,45,40,35,35,56,False
63,60,55,50,50,71,False
83,80,75,70,70,101,False
83,80,80,135,80,121,False
30,56,35,25,35,72,False
55,81,60,50,70,97,False
40,60,30,31,31,70,False
65,90,65,61,61,100,False
35,60,44,40,54,55,False
60,85,69,65,79,80,False
35,55,40,50,50,90,False
60,90,55,90,80,110,False
50,75,85,20,30,40,False
75,100,110,45,55,65,False
55,47,52,40,40,41,False
70,62,67,55,55,56,False
90,92,87,75,85,76,False
46,57,40,40,40,50,False
61,72,57,55,55,65,False
81,102,77,85,75,85,False
70,45,48,60,65,35,False
95,70,73,95,90,60,False
38,41,40,50,65,65,False
73,76,75,81,100,100,False
115,45,20,45,25,20,False
140,70,45,85,50,45,False
40,45,35,30,40,55,False
75,80,70,65,75,90,False
45,50,55,75,65,30,False
60,65,70,85,75,40,False
75,80,85,110,90,50,False
35,70,55,45,55,25,False
60,95,80,60,80,30,False
60,55,50,40,55,45,False
70,65,60,90,75,90,False
10,55,25,35,45,95,False
35,80,50,50,70,120,False
40,45,35,40,40,90,False
65,70,60,65,65,115,False
50,52,48,65,50,55,False
80,82,78,95,80,85,False
40,80,35,35,45,70,False
65,105,60,60,70,95,False
55,70,45,70,50,60,False
90,110,80,100,80,95,False
40,50,40,40,40,90,False
65,65,65,50,50,90,False
90,95,95,70,90,70,False
25,20,15,105,55,90,False
40,35,30,120,70,105,False
55,50,45,135,95,120,False
55,50,65,175,95,150,False
70,80,50,35,35,35,False
80,100,70,50,60,45,False
90,130,80,65,85,55,False
50,75,35,70,30,40,False
65,90,50,85,45,55,False
80,105,65,100,70,70,False
40,40,35,50,100,70,False
80,70,65,80,120,100,False
40,80,100,30,30,20,False
55,95,115,45,45,35,False
80,120,130,55,65,45,False
50,85,55,65,65,90,False
65,100,70,80,80,105,False
90,65,65,40,40,15,False
95,75,110,100,80,30,False
95,75,180,130,80,30,False
25,35,70,95,55,45,False
50,60,95,120,70,70,False
52,65,55,58,62,60,False
35,85,45,35,35,75,False
60,110,70,60,60,100,False
65,45,55,45,70,45,False
90,70,80,70,95,70,False
80,80,50,40,50,25,False
105,105,75,65,100,50,False
30,65,100,45,25,40,False
50,95,180,85,45,70,False
30,35,30,100,35,80,False
45,50,45,115,55,95,False
60,65,60,130,75,110,False
