category_desc,title
Strengthening Communities,Web designer
Strengthening Communities,Urban Adventures - Ice Skating at Lasker Rink
Strengthening Communities,Fight global hunger and support women farmers - Join the Oxfam Action Corps in NYC!
Environment,Stop 'N' Swap
Environment,Queens Stop 'N' Swap
Strengthening Communities,Staff Development Trainer
Helping Neighbors in Need,CLARO Brooklyn Volunteer Attorney
Health,Volunteer-Community Health Advocates
Strengthening Communities,Supervise children in Highland Park Children's Garden
Education,WorldofMoney.org's Youth Amazing Race
Strengthening Communities,Qualified Board Member Seats Available
Education,Young Adult Tutor (Updated 3/30/11)
Helping Neighbors in Need,Health Insurance Claims Manager
Strengthening Communities,Health Insurance Claims Manager
Helping Neighbors in Need,TimeBanksNYC: THE GREAT EXCHANGE 
Strengthening Communities,Community Clean Up at Asbury Cementary in Staten Island 
Helping Neighbors in Need,Senior Citizen Friendly Visitor 
Strengthening Communities,Shop Volunteer
Environment,Tree Care Workshop - Queens 3/20
Environment,Tree Care Workshop - Queens 4/9
Health,Movie screener for Seniors
Health,Volunteer at Queens Farm
Strengthening Communities,Graphic Designer 
Health,Volunteer Open House
Environment,Get the tools to volunteer for Recycling!
Strengthening Communities,Volunteers Needed for Family Event
Strengthening Communities,Clerical Volunteer Support
Strengthening Communities,Volunteers for a Children's Cancer Walk!
Health,BeFitNYC Physical Activity Organizers
Strengthening Communities,Decision Day 2011 Needs Your Help!!
Environment,Get the tools to volunteer for Recycling!
Helping Neighbors in Need,Gain Valuable Counseling Experience--Volunteer on Samaritans 24-Hour Crisis Hotline
Strengthening Communities,Heart Gallery NYC Needs Your Help at our Info Table- Finding Homes for Kids!
Helping Neighbors in Need,Yiddish Speaking Homework Helper Needed
Helping Neighbors in Need,Skilled volunteers to help Rebuilding Together home repairs
Environment,Help the GreenTeam at Advetures NYC!
Strengthening Communities,Volunteer at the Stop 'N' Swap
Strengthening Communities,Volunteer for Summer Streets 
Education,Available on Tuesday evenings? Tutor with MASA!
Helping Neighbors in Need,Volunteers Needed for Senior Lunch Program!
Environment,Get the tools to volunteer for Recycling!
Education,Help Us With Outreach
Helping Neighbors in Need,NYC Summer Meals Outreach Day
Emergency Preparedness,Community Preparedness Day
Environment,NYC Compost Project Master Composter Certificate Course
Strengthening Communities,EmblemHealth Bronx Open
Strengthening Communities,9/11 Day of Service at the JCC in Manhattan
Strengthening Communities,Girl Scout Series - Bronx 
Helping Neighbors in Need,DOROT's 9/11 Day of Service and Rosh Hashanah Package Delivery!
Strengthening Communities,Painting Instructor for JASA's HES Senior Center
Strengthening Communities,3rd Annual FlyNY Kite Festival
Education,Tomorrow's Business Leaders: Teach the basics of business to NYC high schoolers
Strengthening Communities,Gardening at Ft Tryon Park
Strengthening Communities,JASA St. Martin's Poetry Instructor
Education,"New York's College Goal Sunday - February 5, 2012"
Health,Volunteer Dance Instructor
Education,"22nd Annual Latino College - March 17, 2012 - New York University"
Education,Saturday Tutors Needed!
Environment,YOUR PLANET: THE HUMAN MAPPING PROJECT
Education,Give 1 hour/week to help a child learn to read
Education,Storytelling
Strengthening Communities,costume making
Strengthening Communities,Stage Design
Emergency Preparedness,9/11 - Emergency Preparedness Fair
Strengthening Communities,9th Annual West Side County Fair
Health,Nutrition Educator for Shape Up New York!
Health,Manhattan/East 54st Rec. Center: Water Aerobics Instructor for Shape Up New York
Health,Manhattan/Asser Levy Rec. Center: Water Aerobics Instructor for Shape Up New York
Strengthening Communities,Paint alongside Publicolor's students!
Education,Volunteer for Jumpstart's Readers Program!
Strengthening Communities,"Lead crafts, games, face painting and popcorn making in Queens!"
Health,Manhattan/Jackie Robinson Rec Center: Parent & Child Fitness Instructor
Health,Starrett City Senior Center Line Dancer Instructor
Education,Math Tutor
Education,Literacy Tutor
Health,Be a Climb to the Top Volunteer!
Strengthening Communities,Outreach and Marketing Assistant
