Type,Proline,Total phenols,Hue,Nonflavanoid phenols
1,1065,2.8,1.04,0.28
1,1050,2.65,1.05,0.26
1,1185,2.8,1.03,0.3
1,1480,3.85,0.86,0.24
1,735,2.8,1.04,0.39
1,1450,3.27,1.05,0.34
1,1290,2.5,1.02,0.3
1,1295,2.6,1.06,0.31
1,1045,2.8,1.08,0.29
1,1045,2.98,1.01,0.22
1,1510,2.95,1.25,0.22
1,1280,2.2,1.17,0.26
1,1320,2.6,1.15,0.29
1,1150,3.1,1.25,0.43
1,1547,3.3,1.2,0.29
1,1310,2.85,1.28,0.3
1,1280,2.8,1.07,0.33
1,1130,2.95,1.13,0.4
1,1680,3.3,1.23,0.32
1,845,2.7,0.96,0.17
1,780,3.0,1.09,0.24
1,770,2.41,1.03,0.25
1,1035,2.61,1.11,0.27
1,1015,2.48,1.09,0.26
1,845,2.53,1.12,0.28
1,830,2.63,1.13,0.47
1,1195,2.85,0.92,0.34
1,1285,2.4,1.02,0.27
1,915,2.95,1.25,0.37
1,1035,2.65,1.04,0.26
1,1285,3.0,1.19,0.29
1,1515,2.86,1.09,0.22
1,990,2.42,1.23,0.42
1,1235,2.95,1.25,0.5
1,1095,2.35,1.1,0.29
1,920,2.7,1.04,0.26
1,880,2.6,1.09,0.34
1,1105,2.45,1.12,0.29
1,1020,2.4,1.18,0.28
1,760,3.0,0.89,0.2
1,795,3.15,0.95,0.34
1,1035,2.45,0.91,0.27
1,1095,3.25,0.88,0.17
1,680,2.64,0.82,0.32
1,885,3.0,0.88,0.28
1,1080,2.85,0.87,0.3
1,1065,3.25,1.04,0.27
1,985,3.1,0.91,0.21
1,1060,2.75,1.07,0.32
1,1260,2.88,1.12,0.32
1,1150,2.72,1.12,0.17
1,1265,2.45,1.24,0.22
1,1190,3.88,1.01,0.32
1,1375,3.0,1.13,0.39
1,1060,2.6,0.92,0.21
1,1120,2.96,0.98,0.2
1,970,3.2,0.94,0.26
1,1270,3.0,1.07,0.31
1,1285,3.4,0.89,0.19
2,520,1.98,1.05,0.28
2,680,2.05,1.25,0.63
2,450,2.02,0.98,0.53
2,630,2.1,1.23,0.32
2,420,3.5,1.22,0.19
2,355,1.89,1.45,0.45
2,678,2.42,1.19,0.37
2,502,2.98,1.12,0.26
2,510,2.11,1.12,0.27
2,750,2.53,1.02,0.55
2,718,1.85,1.28,0.14
2,870,1.1,0.9059999999999999,0.37
2,410,2.95,1.36,0.21
2,472,1.88,0.98,0.27
2,985,3.3,1.31,0.21
2,886,3.38,0.99,0.13
2,428,1.61,1.23,0.34
2,392,1.95,1.19,0.24
2,500,1.72,0.96,0.43
2,750,1.9,1.06,0.35
2,463,2.83,1.19,0.43
2,278,2.42,1.38,0.3
2,714,2.2,1.16,0.26
2,630,2.0,1.31,0.4
2,515,1.65,0.84,0.61
2,520,2.2,0.79,0.22
2,450,2.2,1.23,0.3
2,495,1.78,1.33,0.43
2,562,1.92,1.36,0.4
2,680,1.95,1.0,0.48
2,625,2.2,1.07,0.42
2,480,1.6,1.08,0.52
2,450,1.45,1.05,0.5
2,495,1.38,0.96,0.58
2,290,2.45,1.15,0.25
2,345,3.02,1.16,0.17
2,937,2.5,1.16,0.32
2,625,1.6,0.95,0.14
2,428,2.55,1.23,0.29
2,660,3.52,1.04,0.24
2,406,2.85,1.42,0.45
2,710,2.23,1.27,0.26
2,562,1.45,1.04,0.29
2,438,2.56,0.8,0.34
2,415,2.5,0.94,0.37
2,672,2.2,1.04,0.32
2,315,1.68,0.86,0.66
2,510,1.65,1.0,0.37
2,488,1.38,0.88,0.48
2,312,2.36,0.86,0.39
2,680,2.74,0.96,0.29
2,562,3.18,0.75,0.24
2,325,2.55,0.9,0.26
2,607,1.75,1.23,0.6
2,434,2.48,1.1,0.42
2,385,2.56,0.93,0.43
2,407,2.46,1.71,0.52
2,495,1.98,0.95,0.3
2,345,2.0,1.06,0.34
2,372,1.63,0.7,0.43
2,564,2.0,0.93,0.37
2,625,2.9,0.8,0.32
2,465,3.18,0.93,0.47
2,365,2.2,0.92,0.43
2,380,2.62,0.73,0.3
2,380,2.86,0.75,0.21
2,378,2.6,0.86,0.37
2,352,2.74,0.69,0.39
2,466,2.13,0.97,0.58
2,342,2.22,0.89,0.4
2,580,2.1,0.79,0.42
3,630,1.51,0.76,0.21
3,530,1.3,0.74,0.24
3,560,1.15,0.66,0.27
3,600,1.7,0.78,0.17
3,650,2.0,0.75,0.6
3,695,1.62,0.73,0.63
3,720,1.38,0.75,0.53
3,515,1.79,0.82,0.63
3,580,1.62,0.81,0.58
3,590,2.32,0.89,0.53
3,600,1.54,0.77,0.53
3,780,1.4,0.7,0.37
3,520,1.55,0.89,0.5
3,550,2.0,0.91,0.47
3,855,1.38,0.65,0.29
3,830,1.5,0.6,0.43
3,415,0.98,0.58,0.4
3,625,1.7,0.54,0.47
3,650,1.93,0.55,0.45
3,550,1.41,0.57,0.34
3,500,1.4,0.59,0.22
3,480,1.48,0.48,0.24
3,425,2.2,0.61,0.26
3,675,1.8,0.56,0.61
3,640,1.48,0.58,0.53
3,725,1.74,0.6,0.61
3,480,1.8,0.57,0.48
3,880,1.9,0.67,0.63
3,660,2.8,0.57,0.53
3,620,2.6,0.57,0.52
3,520,2.3,0.56,0.5
3,680,1.83,0.96,0.5
3,570,1.65,0.87,0.6
3,675,1.39,0.68,0.4
3,615,1.35,0.7,0.41
3,520,1.28,0.78,0.52
3,695,1.7,0.85,0.43
3,685,1.48,0.72,0.4
3,750,1.55,0.74,0.39
3,630,1.98,0.67,0.27
3,510,1.25,0.66,0.4
3,470,1.39,0.57,0.48
3,660,1.68,0.62,0.44
3,740,1.68,0.64,0.52
3,750,1.8,0.7,0.43
3,835,1.59,0.59,0.43
3,840,1.65,0.6,0.53
3,560,2.05,0.61,0.56
